类型,根函数名,函数名,包含性样本,排除性样本,包含性样本 %,排除性样本 %,
"Callee","[System.Management.ni.dll]","dynamicClass.IL_STUB_PInvoke",1,0,0.00,0.00,
"Root","[System.ni.dll]","[System.ni.dll]",53,53,0.15,0.15,
"Caller","[System.ni.dll]","MySql.Data.Common.StreamCreator.GetTcpStream",6,6,0.02,0.02,
"Caller","[System.ni.dll]","MySql.Data.MySqlClient.MySqlConnectAttrs.get_Thread",6,6,0.02,0.02,
"Caller","[System.ni.dll]","MySql.Data.MySqlClient.TimedStream.Read",7,7,0.02,0.02,
"Caller","[System.ni.dll]","MySql.Data.MySqlClient.TimedStream.Write",1,1,0.00,0.00,
"Caller","[System.ni.dll]","WG3000_COMM.Core.wgUdpServerCom.UDP_OnlySend",4,4,0.01,0.01,
"Caller","[System.ni.dll]","ZBYGate_Data_Collection.LocalDataBase.LocalDataBaseWindow.Dispose",28,28,0.08,0.08,
"Caller","[System.ni.dll]","ZBYGate_Data_Collection.Properties.Settings.get_Gate_InDoorSN",1,1,0.00,0.00,
"Root","[System.Transactions.ni.dll]","[System.Transactions.ni.dll]",13,13,0.04,0.04,
"Caller","[System.Transactions.ni.dll]","MySql.Data.MySqlClient.MySqlConnection.Open",13,13,0.04,0.04,
"Root","[System.Windows.Forms.ni.dll]","[System.Windows.Forms.ni.dll]","5,753","5,330",16.49,15.28,
"Caller","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.Form1.CloseTabPageButton_Click",52,19,0.15,0.05,
"Caller","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.Form1.GateStatus",2,2,0.01,0.01,
"Caller","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.Form1.GetMessage",32,32,0.09,0.09,
"Caller","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.Form1.SetTabPate","4,246","4,243",12.17,12.16,
"Caller","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.Https.HttpWindow.Dispose",3,3,0.01,0.01,
"Caller","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.Https.HttpWindow.InitializeComponent",4,4,0.01,0.01,
"Caller","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.LocalDataBase.LocalDataBaseWindow..ctor",1,1,0.00,0.00,
"Caller","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.LocalDataBase.LocalDataBaseWindow.Dispose",2,2,0.01,0.01,
"Caller","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.LocalDataBase.LocalDataBaseWindow.Init",5,5,0.01,0.01,
"Caller","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.LocalDataBase.LocalDataBaseWindow.InitializeComponent",48,48,0.14,0.14,
"Caller","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.Program.Main","5,748",971,16.48,2.78,
"Callee","[System.Windows.Forms.ni.dll]","[LedDynamicArea.dll]",47,1,0.13,0.00,
"Callee","[System.Windows.Forms.ni.dll]","[msctfuimanager.dll]",3,0,0.01,0.00,
"Callee","[System.Windows.Forms.ni.dll]","[VeconClientProj.ocx]",33,0,0.09,0.00,
"Callee","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.Form1.CloseTabPageButton_Click",52,0,0.15,0.00,
"Callee","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.Form1.Form1_FormClosed",10,0,0.03,0.00,
"Callee","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.Form1.GetMessage",12,0,0.03,0.00,
"Callee","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.Form1.HttpWindowShow_Click",90,0,0.26,0.00,
"Callee","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.Form1.LocalDataWindowShow_Click","4,533",0,12.99,0.00,
"Callee","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.Https.HttpWindow.Dispose",3,0,0.01,0.00,
"Callee","[System.Windows.Forms.ni.dll]","ZBYGate_Data_Collection.LocalDataBase.LocalDataBaseWindow.Dispose",30,0,0.09,0.00,
"Root","[UIAnimation.dll]","[UIAnimation.dll]",1,0,0.00,0.00,
"Caller","[UIAnimation.dll]","[combase.dll]",1,0,0.00,0.00,
"Caller","[UIAnimation.dll]","[UIAnimation.dll]",1,0,0.00,0.00,
"Callee","[UIAnimation.dll]","[UIAnimation.dll]",1,0,0.00,0.00,
"Callee","[UIAnimation.dll]","[user32.dll]",1,1,0.00,0.00,
"Root","[UIAutomationCore.dll]","[UIAutomationCore.dll]",4,0,0.01,0.00,
"Caller","[UIAutomationCore.dll]","[dui70.dll]",3,0,0.01,0.00,
"Caller","[UIAutomationCore.dll]","[KernelBase.dll]",1,0,0.00,0.00,
"Caller","[UIAutomationCore.dll]","[UIAutomationCore.dll]",4,0,0.01,0.00,
"Callee","[UIAutomationCore.dll]","[combase.dll]",2,2,0.01,0.01,
"Callee","[UIAutomationCore.dll]","[ntdll.dll]",1,1,0.00,0.00,
"Callee","[UIAutomationCore.dll]","[oleaut32.dll]",1,1,0.00,0.00,
"Callee","[UIAutomationCore.dll]","[UIAutomationCore.dll]",4,0,0.01,0.00,
"Root","[user32.dll]","[user32.dll]",52,52,0.15,0.15,
"Caller","[user32.dll]","[dui70.dll]",4,4,0.01,0.01,
"Caller","[user32.dll]","[duser.dll]",1,0,0.00,0.00,
"Caller","[user32.dll]","[knb3rdhmpg.dll]",6,6,0.02,0.02,
"Caller","[user32.dll]","[LedDynamicArea.dll]",36,36,0.10,0.10,
"Caller","[user32.dll]","[msctfuimanager.dll]",4,4,0.01,0.01,
"Caller","[user32.dll]","[UIAnimation.dll]",1,1,0.00,0.00,
"Caller","[user32.dll]","[VeconClientProj.ocx]",1,1,0.00,0.00,
"Callee","[user32.dll]","[dui70.dll]",1,0,0.00,0.00,
"Callee","[user32.dll]","[duser.dll]",1,0,0.00,0.00,
"Root","[VeconClientProj.ocx]","[VeconClientProj.ocx]",33,0,0.09,0.00,
"Caller","[VeconClientProj.ocx]","[System.Windows.Forms.ni.dll]",33,0,0.09,0.00,
"Caller","[VeconClientProj.ocx]","[VeconClientProj.ocx]",33,0,0.09,0.00,
"Callee","[VeconClientProj.ocx]","[clr.dll]",30,1,0.09,0.00,
"Callee","[VeconClientProj.ocx]","[user32.dll]",1,1,0.00,0.00,
"Callee","[VeconClientProj.ocx]","[VeconClientProj.ocx]",33,0,0.09,0.00,
"Callee","[VeconClientProj.ocx]","[ws2_32.dll]",2,2,0.01,0.01,
"Root","[wbemcomn.dll]","[wbemcomn.dll]",3,0,0.01,0.00,
"Caller","[wbemcomn.dll]","[fastprox.dll]",1,0,0.00,0.00,
"Caller","[wbemcomn.dll]","[wbemcomn.dll]",2,0,0.01,0.00,
"Callee","[wbemcomn.dll]","[fastprox.dll]",1,0,0.00,0.00,
"Callee","[wbemcomn.dll]","[KernelBase.dll]",1,1,0.00,0.00,
"Callee","[wbemcomn.dll]","[ntdll.dll]",1,1,0.00,0.00,
"Callee","[wbemcomn.dll]","[wbemcomn.dll]",2,0,0.01,0.00,
"Root","[wbemprox.dll]","[wbemprox.dll]",13,0,0.04,0.00,
"Caller","[wbemprox.dll]","[wbemprox.dll]",13,0,0.04,0.00,
"Caller","[wbemprox.dll]","[WMINet_Utils.dll]",13,0,0.04,0.00,
"Callee","[wbemprox.dll]","[combase.dll]",11,9,0.03,0.03,
"Callee","[wbemprox.dll]","[KernelBase.dll]",1,1,0.00,0.00,
"Callee","[wbemprox.dll]","[rpcrt4.dll]",1,1,0.00,0.00,
"Callee","[wbemprox.dll]","[wbemprox.dll]",13,0,0.04,0.00,
"Root","[wbemsvc.dll]","[wbemsvc.dll]",1,0,0.00,0.00,
"Caller","[wbemsvc.dll]","[fastprox.dll]",1,0,0.00,0.00,
"Callee","[wbemsvc.dll]","[rpcrt4.dll]",1,1,0.00,0.00,
"Root","[win32u.dll]","[win32u.dll]",1,1,0.00,0.00,
"Caller","[win32u.dll]","[dui70.dll]",1,1,0.00,0.00,
"Root","[WMINet_Utils.dll]","[WMINet_Utils.dll]",17,0,0.05,0.00,
"Caller","[WMINet_Utils.dll]","dynamicClass.IL_STUB_PInvoke",13,0,0.04,0.00,
"Caller","[WMINet_Utils.dll]","dynamicClass.IL_STUB_PInvoke",2,0,0.01,0.00,
"Caller","[WMINet_Utils.dll]","dynamicClass.IL_STUB_PInvoke",1,0,0.00,0.00,
"Caller","[WMINet_Utils.dll]","dynamicClass.IL_STUB_PInvoke",1,0,0.00,0.00,
"Callee","[WMINet_Utils.dll]","[fastprox.dll]",4,1,0.01,0.00,
"Callee","[WMINet_Utils.dll]","[wbemprox.dll]",13,0,0.04,0.00,
"Root","[ws2_32.dll]","[ws2_32.dll]","1,251","1,251",3.59,3.59,
"Caller","[ws2_32.dll]","[VeconClientProj.ocx]",2,2,0.01,0.01,
"Caller","[ws2_32.dll]","[WTY.dll]","1,249","1,249",3.58,3.58,
"Root","[WTY.dll]","[WTY.dll]","28,886",140,82.80,0.40,
"Caller","[WTY.dll]","ZBYGate_Data_Collection.Plate.Plate.Dispose",21,21,0.06,0.06,
"Callee","[WTY.dll]","[kernel32.dll]",3,3,0.01,0.01,
"Callee","[WTY.dll]","[KernelBase.dll]",168,168,0.48,0.48,
"Callee","[WTY.dll]","[msvcrt.dll]","27,312","27,312",78.29,78.29,
"Callee","[WTY.dll]","[mswsock.dll]",4,4,0.01,0.01,
"Callee","[WTY.dll]","[ntdll.dll]",10,10,0.03,0.03,
"Callee","[WTY.dll]","[ws2_32.dll]","1,249","1,249",3.58,3.58,
"Root","AxVeconclientProj.AxVECONclient.Connect2Server","AxVeconclientProj.AxVECONclient.Connect2Server",14,0,0.04,0.00,
"Caller","AxVeconclientProj.AxVECONclient.Connect2Server","ZBYGate_Data_Collection.Container.Container.LinkCallBack",14,0,0.04,0.00,
"Callee","AxVeconclientProj.AxVECONclient.Connect2Server","dynamicClass.IL_STUB_CLRtoCOM",14,0,0.04,0.00,
"Root","AxVeconclientProj.AxVECONclient.RaiseOnOnServerDisconnected","AxVeconclientProj.AxVECONclient.RaiseOnOnServerDisconnected",14,0,0.04,0.00,
"Caller","AxVeconclientProj.AxVECONclient.RaiseOnOnServerDisconnected","[clr.dll]",14,0,0.04,0.00,
"Callee","AxVeconclientProj.AxVECONclient.RaiseOnOnServerDisconnected","[clr.dll]",1,1,0.00,0.00,
"Callee","AxVeconclientProj.AxVECONclient.RaiseOnOnServerDisconnected","ZBYGate_Data_Collection.Container.Container._AxVECONclient_OnServerDisconnected",13,0,0.04,0.00,
"Root","AxVeconclientProj.AxVECONclient.RaiseOnOnServerError","AxVeconclientProj.AxVECONclient.RaiseOnOnServerError",15,0,0.04,0.00,
"Caller","AxVeconclientProj.AxVECONclient.RaiseOnOnServerError","[clr.dll]",15,0,0.04,0.00,
"Callee","AxVeconclientProj.AxVECONclient.RaiseOnOnServerError","ZBYGate_Data_Collection.Container.Container._AxVECONclient_OnServerError",15,0,0.04,0.00,
"Root","dynamicClass.IL_STUB_CLRtoCOM","dynamicClass.IL_STUB_CLRtoCOM",14,0,0.04,0.00,
"Caller","dynamicClass.IL_STUB_CLRtoCOM","AxVeconclientProj.AxVECONclient.Connect2Server",14,0,0.04,0.00,
"Callee","dynamicClass.IL_STUB_CLRtoCOM","[clr.dll]",13,13,0.04,0.04,
"Callee","dynamicClass.IL_STUB_CLRtoCOM","[combase.dll]",1,1,0.00,0.00,
"Root","dynamicClass.IL_STUB_PInvoke","dynamicClass.IL_STUB_PInvoke",13,0,0.04,0.00,
"Callee","dynamicClass.IL_STUB_PInvoke","[WMINet_Utils.dll]",13,0,0.04,0.00,
"Root","dynamicClass.IL_STUB_PInvoke","dynamicClass.IL_STUB_PInvoke",1,0,0.00,0.00,
"Caller","dynamicClass.IL_STUB_PInvoke","[System.Management.ni.dll]",1,0,0.00,0.00,
"Callee","dynamicClass.IL_STUB_PInvoke","[WMINet_Utils.dll]",1,0,0.00,0.00,
"Root","dynamicClass.IL_STUB_PInvoke","dynamicClass.IL_STUB_PInvoke",2,0,0.01,0.00,
"Caller","dynamicClass.IL_STUB_PInvoke","[System.Management.ni.dll]",2,0,0.01,0.00,
"Callee","dynamicClass.IL_STUB_PInvoke","[WMINet_Utils.dll]",2,0,0.01,0.00,
"Root","dynamicClass.IL_STUB_PInvoke","dynamicClass.IL_STUB_PInvoke",1,0,0.00,0.00,
"Caller","dynamicClass.IL_STUB_PInvoke","[System.Management.ni.dll]",1,0,0.00,0.00,
"Callee","dynamicClass.IL_STUB_PInvoke","[WMINet_Utils.dll]",1,0,0.00,0.00,
"Root","log4net.Appender.AppenderSkeleton.Close","log4net.Appender.AppenderSkeleton.Close",4,0,0.01,0.00,
"Caller","log4net.Appender.AppenderSkeleton.Close","log4net.Util.AppenderAttachedImpl.RemoveAllAppenders",4,0,0.01,0.00,
"Callee","log4net.Appender.AppenderSkeleton.Close","[clr.dll]",1,1,0.00,0.00,
"Callee","log4net.Appender.AppenderSkeleton.Close","log4net.Appender.FileAppender.OnClose",3,0,0.01,0.00,
"Root","log4net.Appender.AppenderSkeleton.DoAppend","log4net.Appender.AppenderSkeleton.DoAppend",13,0,0.04,0.00,
"Caller","log4net.Appender.AppenderSkeleton.DoAppend","log4net.Util.AppenderAttachedImpl.AppendLoopOnAppenders",13,0,0.04,0.00,
"Callee","log4net.Appender.AppenderSkeleton.DoAppend","log4net.Appender.RollingFileAppender.Append",13,0,0.04,0.00,
"Root","log4net.Appender.AppenderSkeleton.RenderLoggingEvent","log4net.Appender.AppenderSkeleton.RenderLoggingEvent",10,0,0.03,0.00,
"Caller","log4net.Appender.AppenderSkeleton.RenderLoggingEvent","log4net.Appender.TextWriterAppender.Append",10,0,0.03,0.00,
"Callee","log4net.Appender.AppenderSkeleton.RenderLoggingEvent","log4net.Layout.PatternLayout.Format",10,0,0.03,0.00,
"Root","log4net.Appender.FileAppender.Append","log4net.Appender.FileAppender.Append",11,0,0.03,0.00,
"Caller","log4net.Appender.FileAppender.Append","log4net.Appender.RollingFileAppender.Append",11,0,0.03,0.00,
"Callee","log4net.Appender.FileAppender.Append","log4net.Appender.TextWriterAppender.Append",11,0,0.03,0.00,
"Root","log4net.Appender.FileAppender.CloseWriter","log4net.Appender.FileAppender.CloseWriter",3,0,0.01,0.00,
"Caller","log4net.Appender.FileAppender.CloseWriter","log4net.Appender.TextWriterAppender.WriteFooterAndCloseWriter",3,0,0.01,0.00,
"Callee","log4net.Appender.FileAppender.CloseWriter","log4net.Appender.TextWriterAppender.CloseWriter",3,0,0.01,0.00,
"Root","log4net.Appender.FileAppender.OnClose","log4net.Appender.FileAppender.OnClose",3,0,0.01,0.00,
"Caller","log4net.Appender.FileAppender.OnClose","log4net.Appender.AppenderSkeleton.Close",3,0,0.01,0.00,
"Callee","log4net.Appender.FileAppender.OnClose","log4net.Appender.TextWriterAppender.OnClose",3,0,0.01,0.00,
"Root","log4net.Appender.FileAppender.Reset","log4net.Appender.FileAppender.Reset",3,0,0.01,0.00,
"Caller","log4net.Appender.FileAppender.Reset","log4net.Appender.TextWriterAppender.OnClose",3,0,0.01,0.00,
"Callee","log4net.Appender.FileAppender.Reset","log4net.Appender.TextWriterAppender.WriteFooterAndCloseWriter",3,0,0.01,0.00,
"Root","log4net.Appender.FileAppender+ExclusiveLock.CloseFile","log4net.Appender.FileAppender+ExclusiveLock.CloseFile",2,0,0.01,0.00,
"Caller","log4net.Appender.FileAppender+ExclusiveLock.CloseFile","[mscorlib.ni.dll]",2,0,0.01,0.00,
"Callee","log4net.Appender.FileAppender+ExclusiveLock.CloseFile","log4net.Appender.FileAppender+LockingModelBase.CloseStream",2,0,0.01,0.00,
"Root","log4net.Appender.FileAppender+LockingModelBase.CloseStream","log4net.Appender.FileAppender+LockingModelBase.CloseStream",2,0,0.01,0.00,
"Caller","log4net.Appender.FileAppender+LockingModelBase.CloseStream","log4net.Appender.FileAppender+ExclusiveLock.CloseFile",2,0,0.01,0.00,
"Callee","log4net.Appender.FileAppender+LockingModelBase.CloseStream","[mscorlib.ni.dll]",2,2,0.01,0.01,
"Root","log4net.Appender.FileAppender+LockingStream.Flush","log4net.Appender.FileAppender+LockingStream.Flush",1,0,0.00,0.00,
"Caller","log4net.Appender.FileAppender+LockingStream.Flush","[mscorlib.ni.dll]",1,0,0.00,0.00,
"Callee","log4net.Appender.FileAppender+LockingStream.Flush","[mscorlib.ni.dll]",1,1,0.00,0.00,
"Root","log4net.Appender.RollingFileAppender.AdjustFileBeforeAppend","log4net.Appender.RollingFileAppender.AdjustFileBeforeAppend",1,0,0.00,0.00,
"Caller","log4net.Appender.RollingFileAppender.AdjustFileBeforeAppend","log4net.Appender.RollingFileAppender.Append",1,0,0.00,0.00,
"Callee","log4net.Appender.RollingFileAppender.AdjustFileBeforeAppend","[mscorlib.ni.dll]",1,1,0.00,0.00,
"Root","log4net.Appender.RollingFileAppender.Append","log4net.Appender.RollingFileAppender.Append",13,0,0.04,0.00,
"Caller","log4net.Appender.RollingFileAppender.Append","log4net.Appender.AppenderSkeleton.DoAppend",13,0,0.04,0.00,
"Callee","log4net.Appender.RollingFileAppender.Append","log4net.Appender.FileAppender.Append",11,0,0.03,0.00,
"Callee","log4net.Appender.RollingFileAppender.Append","log4net.Appender.RollingFileAppender.AdjustFileBeforeAppend",1,0,0.00,0.00,
"Callee","log4net.Appender.RollingFileAppender.Append","log4net.Appender.RollingFileAppender+LocalDateTime.get_Now",1,0,0.00,0.00,
"Root","log4net.Appender.RollingFileAppender+LocalDateTime.get_Now","log4net.Appender.RollingFileAppender+LocalDateTime.get_Now",1,0,0.00,0.00,
"Caller","log4net.Appender.RollingFileAppender+LocalDateTime.get_Now","log4net.Appender.RollingFileAppender.Append",1,0,0.00,0.00,
"Callee","log4net.Appender.RollingFileAppender+LocalDateTime.get_Now","[mscorlib.ni.dll]",1,1,0.00,0.00,
"Root","log4net.Appender.TextWriterAppender.Append","log4net.Appender.TextWriterAppender.Append",11,0,0.03,0.00,
"Caller","log4net.Appender.TextWriterAppender.Append","log4net.Appender.FileAppender.Append",11,0,0.03,0.00,
"Callee","log4net.Appender.TextWriterAppender.Append","log4net.Appender.AppenderSkeleton.RenderLoggingEvent",10,0,0.03,0.00,
"Callee","log4net.Appender.TextWriterAppender.Append","log4net.Util.TextWriterAdapter.Flush",1,0,0.00,0.00,
"Root","log4net.Appender.TextWriterAppender.CloseWriter","log4net.Appender.TextWriterAppender.CloseWriter",3,0,0.01,0.00,
"Caller","log4net.Appender.TextWriterAppender.CloseWriter","log4net.Appender.FileAppender.CloseWriter",3,0,0.01,0.00,
"Callee","log4net.Appender.TextWriterAppender.CloseWriter","log4net.Util.QuietTextWriter.Close",3,0,0.01,0.00,
"Root","log4net.Appender.TextWriterAppender.OnClose","log4net.Appender.TextWriterAppender.OnClose",3,0,0.01,0.00,
"Caller","log4net.Appender.TextWriterAppender.OnClose","log4net.Appender.FileAppender.OnClose",3,0,0.01,0.00,
"Callee","log4net.Appender.TextWriterAppender.OnClose","log4net.Appender.FileAppender.Reset",3,0,0.01,0.00,
"Root","log4net.Appender.TextWriterAppender.WriteFooterAndCloseWriter","log4net.Appender.TextWriterAppender.WriteFooterAndCloseWriter",3,0,0.01,0.00,
"Caller","log4net.Appender.TextWriterAppender.WriteFooterAndCloseWriter","log4net.Appender.FileAppender.Reset",3,0,0.01,0.00,
"Callee","log4net.Appender.TextWriterAppender.WriteFooterAndCloseWriter","log4net.Appender.FileAppender.CloseWriter",3,0,0.01,0.00,
"Root","log4net.Core.LocationInfo..ctor","log4net.Core.LocationInfo..ctor",9,0,0.03,0.00,
"Caller","log4net.Core.LocationInfo..ctor","log4net.Core.LoggingEvent.get_LocationInformation",9,0,0.03,0.00,
"Callee","log4net.Core.LocationInfo..ctor","[mscorlib.ni.dll]",6,6,0.02,0.02,
"Callee","log4net.Core.LocationInfo..ctor","log4net.Core.StackFrameItem..ctor",3,0,0.01,0.00,
"Root","log4net.Core.LoggerManager.OnProcessExit","log4net.Core.LoggerManager.OnProcessExit",11,0,0.03,0.00,
"Callee","log4net.Core.LoggerManager.OnProcessExit","log4net.Core.LoggerManager.Shutdown",11,0,0.03,0.00,
"Root","log4net.Core.LoggerManager.Shutdown","log4net.Core.LoggerManager.Shutdown",11,0,0.03,0.00,
"Caller","log4net.Core.LoggerManager.Shutdown","log4net.Core.LoggerManager.OnProcessExit",11,0,0.03,0.00,
"Callee","log4net.Core.LoggerManager.Shutdown","[clr.dll]",1,1,0.00,0.00,
"Callee","log4net.Core.LoggerManager.Shutdown","log4net.Repository.Hierarchy.Hierarchy.Shutdown",10,0,0.03,0.00,
"Root","log4net.Core.LoggingEvent.get_LocationInformation","log4net.Core.LoggingEvent.get_LocationInformation",9,0,0.03,0.00,
"Caller","log4net.Core.LoggingEvent.get_LocationInformation","log4net.Layout.Pattern.FullLocationPatternConverter.Convert",9,0,0.03,0.00,
"Callee","log4net.Core.LoggingEvent.get_LocationInformation","log4net.Core.LocationInfo..ctor",9,0,0.03,0.00,
"Root","log4net.Core.LogImpl.Info","log4net.Core.LogImpl.Info",2,0,0.01,0.00,
"Caller","log4net.Core.LogImpl.Info","ZBYGate_Data_Collection.Container.Container.LinkCallBack",2,0,0.01,0.00,
"Callee","log4net.Core.LogImpl.Info","log4net.Repository.Hierarchy.Logger.Log",2,0,0.01,0.00,
"Root","log4net.Core.LogImpl.Warn","log4net.Core.LogImpl.Warn",11,0,0.03,0.00,
"Caller","log4net.Core.LogImpl.Warn","ZBYGate_Data_Collection.Container.Container._AxVECONclient_OnServerDisconnected",3,0,0.01,0.00,
"Caller","log4net.Core.LogImpl.Warn","ZBYGate_Data_Collection.Container.Container._AxVECONclient_OnServerError",7,0,0.02,0.00,
"Caller","log4net.Core.LogImpl.Warn","ZBYGate_Data_Collection.Plate.Plate.CallbackFuntion",1,0,0.00,0.00,
"Callee","log4net.Core.LogImpl.Warn","log4net.Repository.Hierarchy.Logger.Log",11,0,0.03,0.00,
"Root","log4net.Core.MethodItem.GetMethodParameterNames","log4net.Core.MethodItem.GetMethodParameterNames",3,0,0.01,0.00,
"Caller","log4net.Core.MethodItem.GetMethodParameterNames","log4net.Core.StackFrameItem..ctor",3,0,0.01,0.00,
"Callee","log4net.Core.MethodItem.GetMethodParameterNames","[mscorlib.ni.dll]",3,3,0.01,0.01,
"Root","log4net.Core.StackFrameItem..ctor","log4net.Core.StackFrameItem..ctor",3,0,0.01,0.00,
"Caller","log4net.Core.StackFrameItem..ctor","log4net.Core.LocationInfo..ctor",3,0,0.01,0.00,
"Callee","log4net.Core.StackFrameItem..ctor","log4net.Core.MethodItem.GetMethodParameterNames",3,0,0.01,0.00,
"Root","log4net.Core.WrapperMap.ILoggerRepository_Shutdown","log4net.Core.WrapperMap.ILoggerRepository_Shutdown",1,0,0.00,0.00,
"Caller","log4net.Core.WrapperMap.ILoggerRepository_Shutdown","log4net.Repository.LoggerRepositorySkeleton.OnShutdown",1,0,0.00,0.00,
"Callee","log4net.Core.WrapperMap.ILoggerRepository_Shutdown","[clr.dll]",1,1,0.00,0.00,
"Root","log4net.Layout.Pattern.FullLocationPatternConverter.Convert","log4net.Layout.Pattern.FullLocationPatternConverter.Convert",9,0,0.03,0.00,
"Caller","log4net.Layout.Pattern.FullLocationPatternConverter.Convert","log4net.Layout.Pattern.PatternLayoutConverter.Convert",9,0,0.03,0.00,
"Callee","log4net.Layout.Pattern.FullLocationPatternConverter.Convert","log4net.Core.LoggingEvent.get_LocationInformation",9,0,0.03,0.00,
"Root","log4net.Layout.Pattern.PatternLayoutConverter.Convert","log4net.Layout.Pattern.PatternLayoutConverter.Convert",9,0,0.03,0.00,
"Caller","log4net.Layout.Pattern.PatternLayoutConverter.Convert","log4net.Util.PatternConverter.Format",9,0,0.03,0.00,
"Callee","log4net.Layout.Pattern.PatternLayoutConverter.Convert","log4net.Layout.Pattern.FullLocationPatternConverter.Convert",9,0,0.03,0.00,
"Root","log4net.Layout.PatternLayout.Format","log4net.Layout.PatternLayout.Format",10,0,0.03,0.00,
"Caller","log4net.Layout.PatternLayout.Format","log4net.Appender.AppenderSkeleton.RenderLoggingEvent",10,0,0.03,0.00,
"Callee","log4net.Layout.PatternLayout.Format","log4net.Util.PatternConverter.Format",9,0,0.03,0.00,
"Callee","log4net.Layout.PatternLayout.Format","log4net.Util.PatternStringConverters.LiteralPatternConverter.Format",1,1,0.00,0.00,
"Root","log4net.Plugin.PluginCollection..ctor","log4net.Plugin.PluginCollection..ctor",1,0,0.00,0.00,
"Caller","log4net.Plugin.PluginCollection..ctor","log4net.Plugin.PluginMap.get_AllPlugins",1,0,0.00,0.00,
"Callee","log4net.Plugin.PluginCollection..ctor","log4net.Plugin.PluginCollection.AddRange",1,0,0.00,0.00,
"Root","log4net.Plugin.PluginCollection.AddRange","log4net.Plugin.PluginCollection.AddRange",1,0,0.00,0.00,
"Caller","log4net.Plugin.PluginCollection.AddRange","log4net.Plugin.PluginCollection..ctor",1,0,0.00,0.00,
"Callee","log4net.Plugin.PluginCollection.AddRange","log4net.Plugin.PluginCollection.EnsureCapacity",1,0,0.00,0.00,
"Root","log4net.Plugin.PluginCollection.EnsureCapacity","log4net.Plugin.PluginCollection.EnsureCapacity",1,0,0.00,0.00,
"Caller","log4net.Plugin.PluginCollection.EnsureCapacity","log4net.Plugin.PluginCollection.AddRange",1,0,0.00,0.00,
"Callee","log4net.Plugin.PluginCollection.EnsureCapacity","[clr.dll]",1,1,0.00,0.00,
"Root","log4net.Plugin.PluginMap.get_AllPlugins","log4net.Plugin.PluginMap.get_AllPlugins",1,0,0.00,0.00,
"Caller","log4net.Plugin.PluginMap.get_AllPlugins","log4net.Repository.LoggerRepositorySkeleton.Shutdown",1,0,0.00,0.00,
"Callee","log4net.Plugin.PluginMap.get_AllPlugins","log4net.Plugin.PluginCollection..ctor",1,0,0.00,0.00,
"Root","log4net.Repository.Hierarchy.Hierarchy.Shutdown","log4net.Repository.Hierarchy.Hierarchy.Shutdown",10,0,0.03,0.00,
"Caller","log4net.Repository.Hierarchy.Hierarchy.Shutdown","log4net.Core.LoggerManager.Shutdown",10,0,0.03,0.00,
"Callee","log4net.Repository.Hierarchy.Hierarchy.Shutdown","[clr.dll]",2,2,0.01,0.01,
"Callee","log4net.Repository.Hierarchy.Hierarchy.Shutdown","log4net.Repository.Hierarchy.Logger.CloseNestedAppenders",2,0,0.01,0.00,
"Callee","log4net.Repository.Hierarchy.Hierarchy.Shutdown","log4net.Repository.Hierarchy.Logger.RemoveAllAppenders",4,0,0.01,0.00,
"Callee","log4net.Repository.Hierarchy.Hierarchy.Shutdown","log4net.Repository.LoggerRepositorySkeleton.Shutdown",2,0,0.01,0.00,
"Root","log4net.Repository.Hierarchy.Logger.CallAppenders","log4net.Repository.Hierarchy.Logger.CallAppenders",13,0,0.04,0.00,
"Caller","log4net.Repository.Hierarchy.Logger.CallAppenders","log4net.Repository.Hierarchy.Logger.ForcedLog",13,0,0.04,0.00,
"Callee","log4net.Repository.Hierarchy.Logger.CallAppenders","log4net.Util.AppenderAttachedImpl.AppendLoopOnAppenders",13,0,0.04,0.00,
"Root","log4net.Repository.Hierarchy.Logger.CloseNestedAppenders","log4net.Repository.Hierarchy.Logger.CloseNestedAppenders",2,0,0.01,0.00,
"Caller","log4net.Repository.Hierarchy.Logger.CloseNestedAppenders","log4net.Repository.Hierarchy.Hierarchy.Shutdown",2,0,0.01,0.00,
"Callee","log4net.Repository.Hierarchy.Logger.CloseNestedAppenders","[clr.dll]",2,2,0.01,0.01,
"Root","log4net.Repository.Hierarchy.Logger.ForcedLog","log4net.Repository.Hierarchy.Logger.ForcedLog",13,0,0.04,0.00,
