16:43:21.206  connect 192.168.1.98 fail!
16:43:21.212  192.168.1.98接口函数获取网卡IP为: 192.168.1.250
16:43:21.460  192.168.1.98:bind 10665 port fail, ret = 10049, hsdk_socket->port = 10665
16:43:21.464  192.168.1.98:bind 10675 port fail, ret = 10049, hsdk_socket->port = 10675
16:43:21.468  192.168.1.98:bind 10685 port fail, ret = 10049, hsdk_socket->port = 10685
16:43:21.472  192.168.1.98:bind 10695 port fail, ret = 10049, hsdk_socket->port = 10695
16:43:21.476  192.168.1.98:bind 10705 port fail, ret = 10049, hsdk_socket->port = 10705
16:43:21.480  192.168.1.98:bind 10715 port fail, ret = 10049, hsdk_socket->port = 10715
16:43:21.484  192.168.1.98:bind 10725 port fail, ret = 10049, hsdk_socket->port = 10725
16:43:21.488  192.168.1.98:bind 10735 port fail, ret = 10049, hsdk_socket->port = 10735
16:43:21.492  192.168.1.98:bind 10745 port fail, ret = 10049, hsdk_socket->port = 10745
16:43:21.496  192.168.1.98:bind 10755 port fail, ret = 10049, hsdk_socket->port = 10755
16:43:21.500  192.168.1.98:bind 10765 port fail, ret = 10049, hsdk_socket->port = 10765
16:43:21.504  192.168.1.98:bind 10775 port fail, ret = 10049, hsdk_socket->port = 10775
16:43:21.508  192.168.1.98:bind 10785 port fail, ret = 10049, hsdk_socket->port = 10785
16:43:21.512  192.168.1.98:bind 10795 port fail, ret = 10049, hsdk_socket->port = 10795
16:43:21.516  192.168.1.98:bind 10805 port fail, ret = 10049, hsdk_socket->port = 10805
16:43:21.520  192.168.1.98:bind 10815 port fail, ret = 10049, hsdk_socket->port = 10815
16:43:21.524  192.168.1.98:bind 10825 port fail, ret = 10049, hsdk_socket->port = 10825
16:43:21.528  192.168.1.98:bind 10835 port fail, ret = 10049, hsdk_socket->port = 10835
16:43:21.532  192.168.1.98:bind 10845 port fail, ret = 10049, hsdk_socket->port = 10845
16:43:21.536  192.168.1.98:bind 10855 port fail, ret = 10049, hsdk_socket->port = 10855
16:43:21.540  192.168.1.98:bind 10865 port fail, ret = 10049, hsdk_socket->port = 10865
16:43:21.544  192.168.1.98:bind 10875 port fail, ret = 10049, hsdk_socket->port = 10875
16:43:21.548  192.168.1.98:bind 10885 port fail, ret = 10049, hsdk_socket->port = 10885
16:43:21.552  192.168.1.98:bind 10895 port fail, ret = 10049, hsdk_socket->port = 10895
16:43:21.556  192.168.1.98:bind 10905 port fail, ret = 10049, hsdk_socket->port = 10905
16:43:21.560  192.168.1.98:bind 10915 port fail, ret = 10049, hsdk_socket->port = 10915
16:43:21.564  192.168.1.98:bind 10925 port fail, ret = 10049, hsdk_socket->port = 10925
16:43:21.568  192.168.1.98:bind 10935 port fail, ret = 10049, hsdk_socket->port = 10935
16:43:21.572  192.168.1.98:bind 10945 port fail, ret = 10049, hsdk_socket->port = 10945
16:43:21.576  192.168.1.98:bind 10955 port fail, ret = 10049, hsdk_socket->port = 10955
16:43:21.581  192.168.1.98:bind 10965 port fail, ret = 10049, hsdk_socket->port = 10965
16:43:21.585  192.168.1.98:bind 10975 port fail, ret = 10049, hsdk_socket->port = 10975
16:43:21.589  192.168.1.98:bind 10985 port fail, ret = 10049, hsdk_socket->port = 10985
16:43:21.593  192.168.1.98:bind 10995 port fail, ret = 10049, hsdk_socket->port = 10995
