19:54:39.623  connect 192.168.1.98 fail!
19:54:39.626  192.168.1.98接口函数获取网卡IP为: 192.168.1.250
19:54:39.631  192.168.1.98:bind 10005 port fail, ret = 10049, hsdk_socket->port = 10005
19:54:39.632  192.168.1.98:bind 10015 port fail, ret = 10049, hsdk_socket->port = 10015
19:54:39.633  192.168.1.98:bind 10025 port fail, ret = 10049, hsdk_socket->port = 10025
19:54:39.635  192.168.1.98:bind 10035 port fail, ret = 10049, hsdk_socket->port = 10035
19:54:39.636  192.168.1.98:bind 10045 port fail, ret = 10049, hsdk_socket->port = 10045
19:54:39.637  192.168.1.98:bind 10055 port fail, ret = 10049, hsdk_socket->port = 10055
19:54:39.639  192.168.1.98:bind 10065 port fail, ret = 10049, hsdk_socket->port = 10065
19:54:39.640  192.168.1.98:bind 10075 port fail, ret = 10049, hsdk_socket->port = 10075
19:54:39.641  192.168.1.98:bind 10085 port fail, ret = 10049, hsdk_socket->port = 10085
19:54:39.643  192.168.1.98:bind 10095 port fail, ret = 10049, hsdk_socket->port = 10095
19:54:39.644  192.168.1.98:bind 10105 port fail, ret = 10049, hsdk_socket->port = 10105
19:54:39.645  192.168.1.98:bind 10115 port fail, ret = 10049, hsdk_socket->port = 10115
19:54:39.647  192.168.1.98:bind 10125 port fail, ret = 10049, hsdk_socket->port = 10125
19:54:39.648  192.168.1.98:bind 10135 port fail, ret = 10049, hsdk_socket->port = 10135
19:54:39.649  192.168.1.98:bind 10145 port fail, ret = 10049, hsdk_socket->port = 10145
19:54:39.651  192.168.1.98:bind 10155 port fail, ret = 10049, hsdk_socket->port = 10155
19:54:39.652  192.168.1.98:bind 10165 port fail, ret = 10049, hsdk_socket->port = 10165
19:54:39.653  192.168.1.98:bind 10175 port fail, ret = 10049, hsdk_socket->port = 10175
19:54:39.655  192.168.1.98:bind 10185 port fail, ret = 10049, hsdk_socket->port = 10185
19:54:39.656  192.168.1.98:bind 10195 port fail, ret = 10049, hsdk_socket->port = 10195
19:54:39.657  192.168.1.98:bind 10205 port fail, ret = 10049, hsdk_socket->port = 10205
19:54:39.659  192.168.1.98:bind 10215 port fail, ret = 10049, hsdk_socket->port = 10215
19:54:39.660  192.168.1.98:bind 10225 port fail, ret = 10049, hsdk_socket->port = 10225
19:54:39.661  192.168.1.98:bind 10235 port fail, ret = 10049, hsdk_socket->port = 10235
19:54:39.662  192.168.1.98:bind 10245 port fail, ret = 10049, hsdk_socket->port = 10245
19:54:39.664  192.168.1.98:bind 10255 port fail, ret = 10049, hsdk_socket->port = 10255
19:54:39.665  192.168.1.98:bind 10265 port fail, ret = 10049, hsdk_socket->port = 10265
19:54:39.666  192.168.1.98:bind 10275 port fail, ret = 10049, hsdk_socket->port = 10275
19:54:39.667  192.168.1.98:bind 10285 port fail, ret = 10049, hsdk_socket->port = 10285
19:54:39.669  192.168.1.98:bind 10295 port fail, ret = 10049, hsdk_socket->port = 10295
19:54:39.670  192.168.1.98:bind 10305 port fail, ret = 10049, hsdk_socket->port = 10305
19:54:39.671  192.168.1.98:bind 10315 port fail, ret = 10049, hsdk_socket->port = 10315
19:54:39.672  192.168.1.98:bind 10325 port fail, ret = 10049, hsdk_socket->port = 10325
19:54:39.673  192.168.1.98:bind 10335 port fail, ret = 10049, hsdk_socket->port = 10335
19:54:39.675  192.168.1.98:bind 10345 port fail, ret = 10049, hsdk_socket->port = 10345
19:54:39.676  192.168.1.98:bind 10355 port fail, ret = 10049, hsdk_socket->port = 10355
19:54:39.677  192.168.1.98:bind 10365 port fail, ret = 10049, hsdk_socket->port = 10365
19:54:39.678  192.168.1.98:bind 10375 port fail, ret = 10049, hsdk_socket->port = 10375
19:54:39.680  192.168.1.98:bind 10385 port fail, ret = 10049, hsdk_socket->port = 10385
19:54:39.681  192.168.1.98:bind 10395 port fail, ret = 10049, hsdk_socket->port = 10395
19:54:39.682  192.168.1.98:bind 10405 port fail, ret = 10049, hsdk_socket->port = 10405
19:54:39.683  192.168.1.98:bind 10415 port fail, ret = 10049, hsdk_socket->port = 10415
19:54:39.684  192.168.1.98:bind 10425 port fail, ret = 10049, hsdk_socket->port = 10425
19:54:39.686  192.168.1.98:bind 10435 port fail, ret = 10049, hsdk_socket->port = 10435
19:54:39.687  192.168.1.98:bind 10445 port fail, ret = 10049, hsdk_socket->port = 10445
19:54:39.688  192.168.1.98:bind 10455 port fail, ret = 10049, hsdk_socket->port = 10455
19:54:39.689  192.168.1.98:bind 10465 port fail, ret = 10049, hsdk_socket->port = 10465
19:54:39.690  192.168.1.98:bind 10475 port fail, ret = 10049, hsdk_socket->port = 10475
19:54:39.691  192.168.1.98:bind 10485 port fail, ret = 10049, hsdk_socket->port = 10485
19:54:39.693  192.168.1.98:bind 10495 port fail, ret = 10049, hsdk_socket->port = 10495
19:54:39.694  192.168.1.98:bind 10505 port fail, ret = 10049, hsdk_socket->port = 10505
19:54:39.695  192.168.1.98:bind 10515 port fail, ret = 10049, hsdk_socket->port = 10515
19:54:39.696  192.168.1.98:bind 10525 port fail, ret = 10049, hsdk_socket->port = 10525
19:54:39.697  192.168.1.98:bind 10535 port fail, ret = 10049, hsdk_socket->port = 10535
19:54:39.698  192.168.1.98:bind 10545 port fail, ret = 10049, hsdk_socket->port = 10545
19:54:39.699  192.168.1.98:bind 10555 port fail, ret = 10049, hsdk_socket->port = 10555
19:54:39.701  192.168.1.98:bind 10565 port fail, ret = 10049, hsdk_socket->port = 10565
19:54:39.702  192.168.1.98:bind 10575 port fail, ret = 10049, hsdk_socket->port = 10575
19:54:39.703  192.168.1.98:bind 10585 port fail, ret = 10049, hsdk_socket->port = 10585
19:54:39.704  192.168.1.98:bind 10595 port fail, ret = 10049, hsdk_socket->port = 10595
19:54:39.705  192.168.1.98:bind 10605 port fail, ret = 10049, hsdk_socket->port = 10605
19:54:39.706  192.168.1.98:bind 10615 port fail, ret = 10049, hsdk_socket->port = 10615
19:54:39.707  192.168.1.98:bind 10625 port fail, ret = 10049, hsdk_socket->port = 10625
19:54:39.709  192.168.1.98:bind 10635 port fail, ret = 10049, hsdk_socket->port = 10635
19:54:39.710  192.168.1.98:bind 10645 port fail, ret = 10049, hsdk_socket->port = 10645
19:54:39.711  192.168.1.98:bind 10655 port fail, ret = 10049, hsdk_socket->port = 10655
19:54:39.712  192.168.1.98:bind 10665 port fail, ret = 10049, hsdk_socket->port = 10665
19:54:39.713  192.168.1.98:bind 10675 port fail, ret = 10049, hsdk_socket->port = 10675
19:54:39.714  192.168.1.98:bind 10685 port fail, ret = 10049, hsdk_socket->port = 10685
19:54:39.716  192.168.1.98:bind 10695 port fail, ret = 10049, hsdk_socket->port = 10695
19:54:39.717  192.168.1.98:bind 10705 port fail, ret = 10049, hsdk_socket->port = 10705
19:54:39.718  192.168.1.98:bind 10715 port fail, ret = 10049, hsdk_socket->port = 10715
19:54:39.719  192.168.1.98:bind 10725 port fail, ret = 10049, hsdk_socket->port = 10725
